"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP053/2025-2026/179152-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC Road from the RWD road in ward 12 of Tajiyapur to the field of VIjay singh jee","05-Mar-2025","03-Apr-2025","1483008","Physical Inspection"
"2","Normal/Others","WS/MP053/2025-2026/179153-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the REO road to the house of Nandkishor Shah in in ward no.12 in Madhuvan vedivan","05-Mar-2025","03-Apr-2025","1483556","Physical Inspection"
"3","Normal/Others","WS/MP053/2025-2026/232202-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the Belwa ray main Road towards Baghi village","08-Sep-2025","22-Sep-2025","1480757","Physical Inspection"
"4","Normal/Others","WS/MP053/2024-2025/179155-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from the house  of Devki Baitha to the house of Manish Pandey and from the land of Ishwar jee to the Akash bhavan","05-Mar-2025","29-Mar-2025","1480654","Physical Inspection"
"5","Normal/Others","WS/MP053/2025-2026/179156-Construction of public staircase/ stair ghat for public convenience","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of Snan ghat in Nijamat Pokhra in ward no.13","05-Mar-2025","03-Apr-2025","988810","Physical Inspection"
"6","Normal/Others","WS/MP053/2025-2026/179154-Construction of public staircase/ stair ghat for public convenience","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of Bathing Ghat in Godai pokhra in Bediban madhuban","05-Mar-2025","03-Apr-2025","1481666","Physical Inspection"
"7","Normal/Others","WS/MP053/2025-2026/232200-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC in road in Basant Bihar Colony from the house of Deepak Thakur to the house of Amit Kumar","08-Sep-2025","06-Oct-2025","998317","Physical Inspection"
"8","Normal/Others","WS/MP053/2025-2026/232201-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road in Basant Bihar Colony from the house of  Suraj Sharma to the house of Rajkumar Singh.","08-Sep-2025","06-Oct-2025","1494048","Physical Inspection"
"9","Normal/Others","WS/MP053/2025-2026/259291-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road near Panchayat Bhavan from the boundary of Sudhir jee to towards the boundary of Shashi singh jee","15-Jan-2026","02-Feb-2026","1023610","Physical Inspection"
"10","Normal/Others","WS/MP053/2025-2026/272279-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","Construction of PCC road from examination building to  to Rajendra Prasad multipurpose building in A.N college","04-Mar-2026","13-Mar-2026","1494000","Physical Inspection"
"11","Normal/Others","WS/MP053/2025-2026/272280-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of Pcc road from the multipurpose building towards parking space in A.N college.","04-Mar-2026","13-Mar-2026","1495200","Physical Inspection"
"12","Normal/Others","WS/MP053/2025-2026/272281-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Khiru Mahto (2022-28) (2022-2028)","Elected MP","construction of PCC road from multipurpose hall towards library in A.N college","04-Mar-2026","13-Mar-2026","1494400","Physical Inspection"
